iter	Passed	Remaining
407	5792	8404
408	5805	8389
409	5818	8373
410	5828	8352
411	5860	8363
412	5914	8406
413	5929	8392
414	5942	8377
415	5955	8360
416	5971	8348
417	5988	8338
418	6012	8337
419	6036	8336
420	6064	8340
421	6089	8340
422	6110	8335
423	6130	8328
424	6153	8324
425	6177	8323
426	6203	8324
427	6224	8319
428	6246	8314
429	6264	8304
430	6287	8300
431	6310	8297
432	6332	8292
433	6354	8287
434	6379	8285
435	6403	8283
436	6425	8278
437	6442	8266
438	6453	8246
439	6464	8228
440	6477	8210
441	6490	8193
442	6507	8182
443	6517	8161
444	6529	8143
445	6543	8128
446	6555	8110
447	6575	8101
448	6590	8087
449	6602	8069
450	6614	8051
451	6634	8043
452	6645	8024
453	6661	8011
454	6675	7995
455	6688	7979
456	6704	7966
457	6714	7945
458	6727	7929
459	6741	7913
460	6753	7895
461	6771	7885
462	6782	7866
463	6795	7850
464	6816	7842
465	6836	7834
466	6847	7815
467	6859	7797
468	6873	7782
469	6888	7767
470	6903	7753
471	6916	7737
472	6927	7717
473	6939	7700
474	6953	7685
475	6970	7673
476	6984	7657
477	6998	7642
478	7010	7625
479	7032	7618
480	7041	7598
481	7055	7582
482	7068	7566
483	7080	7549
484	7098	7537
485	7111	7521
486	7121	7502
487	7134	7485
488	7155	7476
489	7166	7458
490	7179	7442
491	7191	7425
492	7200	7405
493	7218	7393
494	7229	7376
495	7243	7360
496	7256	7344
497	7267	7325
498	7284	7313
499	7297	7297
500	7318	7289
501	7330	7272
502	7350	7262
503	7361	7245
504	7374	7228
505	7389	7214
506	7402	7197
507	7421	7188
508	7433	7170
509	7443	7151
510	7457	7136
511	7469	7119
512	7486	7106
513	7497	7089
514	7508	7071
515	7522	7055
516	7538	7042
517	7554	7029
518	7568	7013
519	7577	6994
520	7589	6977
521	7603	6962
522	7619	6949
523	7632	6933
524	7644	6916
525	7660	6903
526	7684	6897
527	7703	6886
528	7720	6874
529	7747	6870
530	7766	6859
531	7785	6849
532	7809	6842
533	7826	6830
534	7844	6818
535	7859	6803
536	7880	6794
537	7891	6776
538	7903	6759
539	7917	6744
540	7939	6736
541	7951	6718
542	7965	6703
543	7976	6686
544	7989	6670
545	8008	6658
546	8018	6640
547	8031	6624
548	8044	6608
549	8056	6591
550	8065	6572
551	8078	6556
552	8092	6541
553	8103	6523
554	8114	6505
555	8126	6489
556	8138	6472
557	8148	6454
558	8159	6437
559	8172	6421
560	8183	6403
561	8196	6387
562	8208	6371
563	8219	6354
564	8231	6337
565	8245	6322
566	8267	6313
567	8285	6301
568	8304	6290
569	8321	6277
570	8342	6268
571	8367	6260
572	8384	6248
573	8405	6238
574	8421	6224
575	8442	6214
576	8460	6202
577	8479	6191
578	8497	6178
579	8517	6167
580	8539	6158
581	8558	6146
582	8576	6134
583	8600	6126
584	8619	6114
585	8641	6104
586	8663	6095
587	8679	6081
588	8698	6069
589	8709	6052
590	8726	6038
591	8737	6021
592	8751	6006
593	8762	5989
594	8773	5971
595	8784	5954
596	8797	5938
597	8809	5922
598	8818	5903
599	8831	5887
600	8843	5871
601	8853	5853
602	8864	5835
603	8876	5819
604	8888	5802
605	8900	5786
606	8919	5774
607	8931	5758
608	8945	5743
609	8957	5727
610	8967	5709
611	8978	5692
612	8991	5676
613	9005	5661
614	9018	5645
615	9028	5627
616	9041	5612
617	9057	5598
618	9068	5581
619	9079	5564
620	9091	5548
621	9104	5532
622	9113	5514
623	9125	5498
624	9139	5483
625	9150	5466
626	9169	5454
627	9180	5438
628	9193	5422
629	9208	5408
630	9221	5392
631	9233	5376
632	9252	5364
633	9262	5347
634	9275	5331
635	9287	5315
636	9300	5300
637	9310	5282
638	9322	5266
639	9334	5250
640	9344	5233
641	9354	5216
642	9367	5200
643	9378	5184
644	9390	5168
645	9402	5152
646	9416	5137
647	9430	5122
648	9439	5105
649	9451	5089
650	9463	5073
651	9472	5056
652	9484	5039
653	9496	5024
654	9505	5006
655	9517	4990
656	9530	4975
657	9541	4959
658	9552	4943
659	9565	4927
660	9577	4912
661	9586	4894
662	9600	4879
663	9616	4866
664	9635	4853
665	9659	4844
666	9678	4831
667	9695	4818
668	9713	4806
669	9737	4796
670	9749	4780
671	9772	4769
672	9790	4756
673	9816	4747
674	9837	4736
675	9857	4724
676	9881	4714
677	9903	4703
678	9920	4690
679	9940	4678
680	9962	4666
681	9985	4655
682	10002	4642
683	10019	4628
684	10037	4615
685	10061	4605
686	10079	4592
687	10096	4578
688	10108	4562
689	10121	4547
690	10132	4530
691	10141	4513
692	10153	4498
693	10165	4482
694	10174	4465
695	10188	4450
696	10200	4434
697	10211	4418
698	10234	4407
699	10248	4392
700	10258	4375
701	10269	4359
702	10282	4344
703	10293	4328
704	10304	4311
705	10316	4296
706	10328	4280
707	10338	4263
708	10350	4248
709	10363	4232
710	10371	4215
711	10385	4200
712	10397	4185
713	10409	4169
714	10420	4153
715	10433	4138
716	10447	4123
717	10462	4109
718	10473	4093
719	10484	4077
720	10497	4062
721	10510	4047
722	10519	4030
723	10531	4014
724	10543	3999
725	10553	3983
726	10565	3967
727	10577	3952
728	10590	3937
729	10599	3920
730	10614	3906
731	10627	3890
732	10640	3875
733	10659	3862
734	10671	3847
735	10683	3832
736	10695	3816
737	10708	3801
738	10722	3786
739	10735	3771
740	10746	3756
741	10764	3743
742	10778	3728
743	10792	3713
744	10805	3698
745	10815	3682
746	10826	3666
747	10838	3651
748	10849	3635
749	10860	3620
750	10871	3604
751	10882	3588
752	10893	3573
753	10908	3558
754	10922	3544
755	10938	3530
756	10949	3514
757	10960	3499
758	10973	3484
759	10986	3469
760	10996	3453
761	11008	3438
762	11023	3424
763	11046	3412
764	11065	3399
765	11084	3386
